iter	Passed	Remaining
856	3579	597
857	3583	593
858	3587	588
859	3591	584
860	3595	580
861	3598	576
862	3602	571
863	3606	567
864	3609	563
865	3613	559
866	3616	554
867	3620	550
868	3624	546
869	3627	542
870	3631	537
871	3635	533
872	3639	529
873	3642	525
874	3646	520
875	3650	516
876	3653	512
877	3657	508
878	3661	503
879	3664	499
880	3668	495
881	3671	491
882	3675	487
883	3679	482
884	3683	478
885	3687	474
886	3691	470
887	3696	466
888	3700	462
889	3705	457
890	3709	453
891	3713	449
892	3718	445
893	3725	441
894	3729	437
895	3733	433
896	3738	429
897	3743	425
898	3748	421
899	3752	416
900	3758	412
901	3762	408
902	3766	404
903	3772	400
904	3776	396
905	3781	392
906	3791	388
907	3795	384
908	3801	380
909	3807	376
910	3811	372
911	3817	368
912	3823	364
913	3827	360
914	3831	355
915	3836	351
916	3840	347
917	3844	343
918	3851	339
919	3855	335
920	3860	331
921	3864	326
922	3871	322
923	3876	318
924	3884	314
925	3889	310
926	3892	306
927	3897	302
928	3903	298
929	3907	294
930	3911	289
931	3917	285
932	3921	281
933	3925	277
934	3930	273
935	3935	269
936	3939	264
937	3946	260
938	3953	256
939	3958	252
940	3963	248
941	3969	244
942	3973	240
943	3978	236
944	3985	231
945	3991	227
946	3996	223
947	4003	219
948	4007	215
949	4013	211
950	4018	207
951	4022	202
952	4027	198
953	4032	194
954	4036	190
955	4040	185
956	4048	181
957	4053	177
958	4057	173
959	4061	169
960	4066	165
961	4070	160
962	4074	156
963	4081	152
964	4085	148
965	4089	143
966	4095	139
967	4099	135
968	4104	131
969	4109	127
970	4115	122
971	4119	118
972	4125	114
973	4131	110
974	4136	106
975	4142	101
976	4147	97
977	4152	93
978	4157	89
979	4163	84
980	4167	80
981	4173	76
982	4182	72
983	4189	68
984	4195	63
985	4200	59
986	4204	55
987	4211	51
988	4215	46
989	4220	42
990	4226	38
991	4231	34
992	4235	29
993	4243	25
994	4248	21
995	4252	17
996	4257	12
997	4264	8
998	4268	4
999	4274	0
